Cluster,Data,CapInst_acum
cluster_NE_2,2024-02,12152.785
cluster_NE_2,2024-03,12152.785
cluster_NE_2,2024-04,12152.785
cluster_NE_2,2024-05,12152.785
cluster_NE_2,2024-06,12158.085
cluster_NE_2,2024-07,12158.085
cluster_NE_2,2024-08,12158.085
cluster_NE_2,2024-09,12158.085
cluster_NE_2,2024-10,12158.085
cluster_NE_2,2024-11,12158.085
cluster_NE_2,2024-12,12189.885
cluster_NE_2,2025-01,12492.985
cluster_NE_2,2025-02,12492.985
cluster_NE_2,2025-03,12492.985
cluster_NE_2,2025-04,12492.985
cluster_NE_2,2025-05,12492.985
cluster_NE_2,2025-06,12564.985
cluster_NE_2,2025-07,12564.985
cluster_NE_2,2025-08,12564.985
cluster_NE_2,2025-09,12564.985
cluster_NE_2,2025-10,12564.985
cluster_NE_2,2025-11,12564.985
cluster_NE_2,2025-12,12636.385
cluster_NE_2,2026-01,12636.385
cluster_NE_2,2026-02,12636.385
cluster_NE_2,2026-03,12666.385
cluster_NE_2,2026-04,12666.385
cluster_NE_2,2026-05,12666.385
cluster_NE_2,2026-06,12666.385
cluster_NE_2,2026-07,12666.385
cluster_NE_2,2026-08,12666.385
cluster_NE_2,2026-09,12666.385
cluster_NE_2,2026-10,12666.385
cluster_NE_2,2026-11,12666.385
cluster_NE_2,2026-12,12666.385
cluster_S_1,2017-01,1866.89
cluster_S_1,2017-02,1890.89
cluster_S_1,2017-03,1908.89
cluster_S_1,2017-04,1908.89
cluster_S_1,2017-05,1923.89
cluster_S_1,2017-06,1938.89
cluster_S_1,2017-07,1971.89
cluster_S_1,2017-08,1971.89
cluster_S_1,2017-09,2019.89
cluster_S_1,2017-10,2019.89
cluster_S_1,2017-11,2019.89
cluster_S_1,2017-12,2019.89
cluster_S_1,2018-01,2019.89
cluster_S_1,2018-02,2019.89
cluster_S_1,2018-03,2019.89
cluster_S_1,2018-04,2019.89
cluster_S_1,2018-05,2019.89
cluster_S_1,2018-06,2019.89
cluster_S_1,2018-07,2019.89
cluster_S_1,2018-08,2019.89
cluster_S_1,2018-09,2019.89
cluster_S_1,2018-10,2019.89
cluster_S_1,2018-11,2019.89
cluster_S_1,2018-12,2019.89
cluster_S_1,2019-01,2019.89
cluster_S_1,2019-02,2019.89
cluster_S_1,2019-03,2019.89
cluster_S_1,2019-04,2019.89
cluster_S_1,2019-05,2019.89
cluster_S_1,2019-06,2019.89
cluster_S_1,2019-07,2019.89
cluster_S_1,2019-08,2019.89
cluster_S_1,2019-09,2019.89
cluster_S_1,2019-10,2019.89
cluster_S_1,2019-11,2019.89
cluster_S_1,2019-12,2019.89
cluster_S_1,2020-01,2019.89
cluster_S_1,2020-02,2019.89
cluster_S_1,2020-03,2019.89
cluster_S_1,2020-04,2019.89
cluster_S_1,2020-05,2019.89
cluster_S_1,2020-06,2019.89
cluster_S_1,2020-07,2019.89
cluster_S_1,2020-08,2019.89
cluster_S_1,2020-09,2019.89
cluster_S_1,2020-10,2019.89
cluster_S_1,2020-11,2019.89
cluster_S_1,2020-12,2019.89
cluster_S_1,2021-01,2019.89
cluster_S_1,2021-02,2019.89
cluster_S_1,2021-03,2019.89
cluster_S_1,2021-04,2019.89
cluster_S_1,2021-05,2019.89
cluster_S_1,2021-06,2019.89
cluster_S_1,2021-07,2019.89
cluster_S_1,2021-08,2019.89
cluster_S_1,2021-09,2019.89
cluster_S_1,2021-10,2019.89
cluster_S_1,2021-11,2019.89
cluster_S_1,2021-12,2019.89
cluster_S_1,2022-01,2019.89
cluster_S_1,2022-02,2019.89
cluster_S_1,2022-03,2019.89
cluster_S_1,2022-04,2019.89
cluster_S_1,2022-05,2019.89
cluster_S_1,2022-06,2019.89
cluster_S_1,2022-07,2019.89
cluster_S_1,2022-08,2019.89
cluster_S_1,2022-09,2019.89
cluster_S_1,2022-10,2019.89
cluster_S_1,2022-11,2019.89
cluster_S_1,2022-12,2019.89
cluster_S_1,2023-01,2019.89
cluster_S_1,2023-02,2019.89
cluster_S_1,2023-03,2019.89
cluster_S_1,2023-04,2019.89
cluster_S_1,2023-05,2019.89
cluster_S_1,2023-06,2019.89
cluster_S_1,2023-07,2019.89
cluster_S_1,2023-08,2019.89
cluster_S_1,2023-09,2019.89
cluster_S_1,2023-10,2019.89
cluster_S_1,2023-11,2019.89
cluster_S_1,2023-12,2019.89
cluster_S_1,2024-01,2019.89
cluster_S_1,2024-02,2019.89
cluster_S_1,2024-03,2019.89
cluster_S_1,2024-04,2019.89
cluster_S_1,2024-05,2019.89
cluster_S_1,2024-06,2019.89
cluster_S_1,2024-07,2019.89
cluster_S_1,2024-08,2019.89
cluster_S_1,2024-09,2019.89
cluster_S_1,2024-10,2019.89
cluster_S_1,2024-11,2019.89
cluster_S_1,2024-12,2019.89
cluster_S_1,2025-01,2019.89
cluster_S_1,2025-02,2019.89
cluster_S_1,2025-03,2019.89
cluster_S_1,2025-04,2019.89
cluster_S_1,2025-05,2019.89
cluster_S_1,2025-06,2019.89
cluster_S_1,2025-07,2019.89
cluster_S_1,2025-08,2019.89
cluster_S_1,2025-09,2019.89
cluster_S_1,2025-10,2019.89
cluster_S_1,2025-11,2019.89
cluster_S_1,2025-12,2019.89
cluster_S_1,2026-01,2019.89
cluster_S_1,2026-02,2019.89
cluster_S_1,2026-03,2019.89
cluster_S_1,2026-04,2019.89
cluster_S_1,2026-05,2019.89
cluster_S_1,2026-06,2019.89
cluster_S_1,2026-07,2019.89
cluster_S_1,2026-08,2019.89
cluster_S_1,2026-09,2019.89
cluster_S_1,2026-10,2019.89
cluster_S_1,2026-11,2019.89
cluster_S_1,2026-12,2019.89
