cluster,data_hora,vento
cluster_NE_1,1993-09-01,8.39174548301355
cluster_NE_1,1993-10-01,8.64372176189693
cluster_NE_1,1993-11-01,8.4770994750968
cluster_NE_1,1993-12-01,8.03050949534443
cluster_NE_1,1994-01-01,5.75589480820841
cluster_NE_1,1994-02-01,5.90476779557536
cluster_NE_1,1994-03-01,5.02245172579901
cluster_NE_1,1994-04-01,5.49609922441323
cluster_NE_1,1994-05-01,6.59595746914769
cluster_NE_1,1994-06-01,6.31446608169
cluster_NE_1,1994-07-01,7.8490285940189
cluster_NE_1,1994-08-01,8.55531797695536
cluster_NE_1,1994-09-01,9.22395273108021
cluster_NE_1,1994-10-01,9.10872449242113
cluster_NE_1,1994-11-01,8.69228902036202
cluster_NE_1,1994-12-01,7.79245839135206
cluster_NE_1,1995-01-01,6.50969534338969
cluster_NE_1,1995-02-01,4.59540303338228
cluster_NE_1,1995-03-01,5.44726427331476
cluster_NE_1,1995-04-01,5.06698666129885
cluster_NE_1,1995-05-01,5.23155060316468
cluster_NE_1,1995-06-01,6.9700212681635
cluster_NE_1,1995-07-01,7.82746267713818
cluster_NE_1,1995-08-01,8.96457373841162
cluster_NE_1,1995-09-01,9.52799266394863
cluster_NE_1,1995-10-01,8.48885093460937
cluster_NE_1,1995-11-01,7.99074050796919
cluster_NE_1,1995-12-01,7.03271275054082
cluster_NE_1,1996-01-01,6.71892746964237
cluster_NE_1,1996-02-01,6.08026482946163
cluster_NE_1,1996-03-01,4.11969068820206
cluster_NE_1,1996-04-01,3.94687372107332
cluster_NE_1,1996-05-01,5.92396924176503
cluster_NE_1,1996-06-01,7.6525030655259
cluster_NE_1,1996-07-01,8.16731824153109
cluster_NE_1,1996-08-01,8.42926743231502
cluster_NE_1,1996-09-01,9.17026542253072
cluster_NE_1,1996-10-01,8.79356065865164
cluster_NE_1,1996-11-01,7.9644407999348
cluster_NE_1,1996-12-01,7.62038777932959
cluster_NE_1,1997-01-01,6.97178480510022
cluster_NE_1,1997-02-01,7.55436281489337
cluster_NE_1,1997-03-01,6.03993735942691
cluster_NE_1,1997-04-01,5.56993142985839
cluster_NE_1,1997-05-01,6.84078634015412
cluster_NE_1,1997-06-01,7.48777099244541
cluster_NE_1,1997-07-01,8.48119909714615
cluster_NE_1,1997-08-01,9.02298175975353
cluster_NE_1,1997-09-01,8.36538742864406
cluster_NE_1,1997-10-01,8.16645801197861
cluster_NE_1,1997-11-01,7.89768853430807
cluster_NE_1,1997-12-01,6.94794288374744
cluster_NE_1,1998-01-01,5.78364598910265
cluster_NE_1,1998-02-01,7.28781115908813
cluster_NE_1,1998-03-01,6.27598239027515
cluster_NE_1,1998-04-01,7.27224296737921
cluster_NE_1,1998-05-01,7.79928778328752
cluster_NE_1,1998-06-01,8.30156377878437
cluster_NE_1,1998-07-01,8.14082126321174
cluster_NE_1,1998-08-01,8.87871026813152
