data_hora,capacidade_instalada,cluster
2014-05-09,334.42,cluster_NE_3
2014-06-09,334.42,cluster_NE_3
2014-07-09,628.82,cluster_NE_3
2014-08-09,628.82,cluster_NE_3
2014-09-09,628.82,cluster_NE_3
2014-10-09,775.22,cluster_NE_3
2014-11-09,942.92,cluster_NE_3
2014-12-09,942.92,cluster_NE_3
2015-01-09,942.92,cluster_NE_3
2015-02-09,1022.82,cluster_NE_3
2015-03-09,1140.42,cluster_NE_3
2015-04-09,1140.42,cluster_NE_3
2015-05-09,1140.42,cluster_NE_3
2015-06-09,1140.42,cluster_NE_3
2015-07-09,1140.42,cluster_NE_3
2015-08-09,1140.42,cluster_NE_3
2015-09-09,1194.82,cluster_NE_3
2015-10-09,1194.82,cluster_NE_3
2015-11-09,1260.62,cluster_NE_3
2015-12-09,1413.52,cluster_NE_3
2016-01-09,1816.965,cluster_NE_3
2016-02-09,1935.765,cluster_NE_3
2016-03-09,2017.165,cluster_NE_3
2016-04-09,2143.915,cluster_NE_3
2016-05-09,2203.915,cluster_NE_3
2016-06-09,2382.88,cluster_NE_3
2016-07-09,2436.385,cluster_NE_3
2016-08-09,2436.385,cluster_NE_3
2016-09-09,2436.385,cluster_NE_3
2016-10-09,2577.395,cluster_NE_3
2016-11-09,2600.495,cluster_NE_3
2016-12-09,2600.495,cluster_NE_3
2017-01-09,2600.495,cluster_NE_3
2017-02-09,2600.495,cluster_NE_3
2017-03-09,2600.495,cluster_NE_3
2017-04-09,2600.495,cluster_NE_3
2017-05-09,2600.495,cluster_NE_3
2017-06-09,2600.495,cluster_NE_3
2017-07-09,2600.495,cluster_NE_3
2017-08-09,2600.495,cluster_NE_3
2017-09-09,2690.495,cluster_NE_3
2017-10-09,2690.495,cluster_NE_3
2017-11-09,2870.495,cluster_NE_3
2017-12-09,3040.795,cluster_NE_3
2018-01-09,3098.795,cluster_NE_3
2018-02-09,3098.795,cluster_NE_3
2018-03-09,3098.795,cluster_NE_3
